Crop_Year,State,Crop,Season,Area_1000_ha,Production_1000_tonnes,Yield_tonnes_per_ha,Annual_Rainfall_mm,Irrigation_pct
2007,Tamil Nadu,Sugarcane,Kharif,380.2,36636.1,96.36,574.3,99.1
2011,Gujarat,Rice,Kharif,803.3,1614.6,2.01,631.4,51.5
2015,Maharashtra,Groundnut,Kharif,378.8,439.4,1.16,288.1,16.0
2013,West Bengal,Vegetables,Kharif,1206.6,18762.6,15.55,1959.5,33.3
2013,Tamil Nadu,Vegetables,Kharif,453.4,7295.2,16.09,664.3,58.7
2005,Gujarat,Pulses,Kharif,399.1,219.5,0.55,723.3,10.6
2005,Andhra Pradesh,Groundnut,Kharif,1109.7,1076.4,0.97,667.5,29.4
2009,Uttar Pradesh,Wheat,Rabi,12202.2,32701.9,2.68,200.6,88.5
2001,Gujarat,Cotton,Kharif,2696.7,1672.0,0.62,738.2,49.2
2010,Andhra Pradesh,Pulses,Rabi,670.6,402.4,0.6,77.2,27.0
2004,Madhya Pradesh,Soybean,Kharif,4983.9,4585.2,0.92,1026.2,7.5
2009,West Bengal,Jute,Kharif,645.4,1348.9,2.09,849.2,16.7
2002,Uttar Pradesh,Maize,Kharif,771.7,833.4,1.08,546.5,41.6
2006,Karnataka,Groundnut,Kharif,861.7,698.0,0.81,439.1,20.4
2002,Haryana,Oilseeds,Rabi,532.0,478.8,0.9,27.2,83.9
2003,Bihar,Vegetables,Kharif,704.6,8532.7,12.11,954.5,40.8
2016,Madhya Pradesh,Groundnut,Kharif,209.4,236.6,1.13,709.4,9.6
2015,Karnataka,Millets,Kharif,2351.2,2750.9,1.17,488.3,18.3
2020,Tamil Nadu,Tea,Kharif,77.2,162.1,2.1,1742.8,23.3
2013,Gujarat,Sugarcane,Kharif,194.9,12467.8,63.97,790.0,97.0
2015,Andhra Pradesh,Millets,Kharif,366.6,381.3,1.04,260.9,19.1
2006,Rajasthan,Oilseeds,Rabi,2387.0,2196.0,0.92,42.1,75.9
2017,Gujarat,Sugarcane,Kharif,212.8,14974.7,70.37,589.3,92.5
2010,Tamil Nadu,Coconut,Kharif,497.8,4858.5,9.76,725.6,73.0
2013,Karnataka,Coffee,Kharif,216.4,196.9,0.91,2633.8,30.7
2021,Bihar,Maize,Kharif,711.7,2234.7,3.14,871.7,39.3
2003,Odisha,Rice,Kharif,3680.5,4674.2,1.27,1647.0,31.9
2003,Madhya Pradesh,Vegetables,Rabi,414.5,4688.0,11.31,104.6,57.6
2020,Haryana,Wheat,Rabi,2396.7,11959.5,4.99,160.7,99.8
2017,Maharashtra,Millets,Kharif,2961.4,2665.3,0.9,501.0,6.5
2006,Rajasthan,Groundnut,Kharif,480.7,509.5,1.06,397.6,30.2
2004,Bihar,Maize,Kharif,660.5,1347.4,2.04,905.3,40.1
2015,Madhya Pradesh,Vegetables,Rabi,456.2,7153.2,15.68,54.8,55.1
2015,Telangana,Pulses,Rabi,419.7,272.8,0.65,66.1,17.3
2007,Gujarat,Cotton,Kharif,2412.7,2267.9,0.94,716.8,51.4
2008,Bihar,Maize,Kharif,614.2,1492.5,2.43,867.1,41.7
2020,Karnataka,Pulses,Rabi,2324.2,1464.2,0.63,139.1,14.1
2002,Andhra Pradesh,Fruits,Kharif,747.5,6166.9,8.25,384.4,53.6
2007,Karnataka,Rice,Kharif,1079.0,2902.5,2.69,1032.7,64.3
2006,Karnataka,Sugarcane,Kharif,482.5,39193.5,81.23,757.0,95.6
2005,Maharashtra,Wheat,Rabi,919.1,1084.5,1.18,52.4,78.6
2016,Gujarat,Vegetables,Rabi,513.3,9188.1,17.9,48.1,77.5
2003,Gujarat,Tobacco,Rabi,67.2,79.3,1.18,33.2,84.5
